Header Size:  8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Interval:  0.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Rate:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Count:  449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device Serial Number:  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culture Info:  en-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Date/Time,CHANNEL0,CHANNEL1,CHANNEL2,CHANNEL3,CHANNEL4,CHANNEL5,CHANNEL6,CHANNEL7,CHANNEL8,CHANNEL9,CHANNEL10,CHANNEL11,CHANNEL12,CHANNEL13,CHANNEL14,CHANNEL15,CHANNEL16,CHANNEL17,CHANNEL18,CHANNEL19,CHANNEL20,CHANNEL21,CHANNEL22,CHANNEL23,CHANNEL24,CHANNEL25,CHANNEL26,CHANNEL27,CHANNEL28,CHANNEL29,CHANNEL30,CHANNEL31
41,23:10.5,22.0621,22.2595,22.9817,22.6161,22.3285,22.2976,22.2939,22.1772,22.6711,22.5308,22.5095,22.4262,22.5112,22.4208,23.1949,0.0162,-0.553,22.2391,22.9372,22.5067,22.3467,22.3336,22.2754,22.1767,22.3415,22.3961,22.4084,22.4035,22.41,22.2889,22.2199,22.2521
42,23:10.8,22.0533,22.247,22.9817,22.6068,22.329,22.3068,22.3023,22.1726,22.6538,22.5171,22.5035,22.4178,22.511,22.4363,23.2157,0.0165,-0.5688,22.2296,22.9793,22.5102,22.3848,22.3539,22.2701,22.1788,22.3341,22.3931,22.4156,22.3947,22.406,22.2977,22.209,22.2491
43,23:11.1,22.0482,22.2364,22.9667,22.6232,22.3475,22.2853,22.2852,22.1915,22.6589,22.5326,22.5097,22.3987,22.5082,22.4233,23.2152,0.0159,-0.5862,22.2296,22.9354,22.5215,22.3659,22.3493,22.2979,22.1767,22.3209,22.3884,22.4161,22.4012,22.3993,22.2926,22.2404,22.2345
44,23:11.5,22.054,22.2357,22.9498,22.5775,22.3343,22.2747,22.2745,22.1941,22.6693,22.54,22.5049,22.4278,22.5128,22.4143,23.2333,0.0166,-0.6054,22.2501,22.9594,22.5083,22.3624,22.3486,22.2694,22.148,22.2962,22.3748,22.4098,22.3968,22.4026,22.2459,22.2337,22.2387
45,23:11.8,22.0563,22.2334,22.9397,22.6357,22.3232,22.3168,22.2815,22.1883,22.6739,22.5484,22.5213,22.4017,22.5154,22.4228,23.1988,0.0166,-0.6254,22.2367,22.9645,22.5303,22.3691,22.3505,22.2828,22.1536,22.3237,22.3808,22.4152,22.4009,22.4044,22.3049,22.2335,22.2394
46,23:12.1,22.0429,22.2225,22.9686,22.6017,22.3364,22.2934,22.2831,22.18,22.6667,22.553,22.5123,22.4294,22.5045,22.4097,23.1926,0.0168,-0.6229,22.2245,22.9319,22.531,22.3502,22.3565,22.2713,22.1735,22.3357,22.3831,22.4126,22.4044,22.3892,22.2766,22.2305,22.2341
47,23:12.5,22.0503,22.2357,22.9686,22.6202,22.3207,22.3181,22.2697,22.192,22.6589,22.5125,22.5197,22.4206,22.5112,22.4335,23.2035,0.0175,-0.5865,22.2319,22.9758,22.5243,22.3506,22.3521,22.2706,22.1607,22.32,22.3803,22.402,22.4025,22.3769,22.3012,22.2439,22.2399
48,23:12.8,22.0514,22.2181,22.9595,22.6278,22.3309,22.3124,22.2433,22.2001,22.6459,22.5111,22.5067,22.4225,22.5089,22.4157,23.197,0.0174,-0.538,22.2171,22.9827,22.4873,22.3617,22.3533,22.2791,22.1806,22.3336,22.3785,22.414,22.3894,22.3783,22.334,22.2453,22.2528
49,23:13.1,22.047,22.2114,22.9508,22.635,22.3378,22.3285,22.2838,22.1971,22.6436,22.4954,22.488,22.4241,22.5084,22.4,23.1866,0.0165,-0.4999,22.2284,22.9407,22.5379,22.3566,22.3461,22.2812,22.1716,22.3329,22.3882,22.4152,22.3947,22.3711,22.331,22.2469,22.2473
50,23:13.5,22.0466,22.2232,22.9459,22.5888,22.3417,22.3269,22.2833,22.2022,22.6492,22.5356,22.4991,22.4331,22.5128,22.4006,23.1723,0.0114,-0.4524,22.227,22.9703,22.5407,22.3423,22.332,22.2754,22.1735,22.3082,22.354,22.4052,22.3723,22.3746,22.3194,22.2495,22.2352
