Header Size:  8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Interval:  0.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Rate:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Count:  976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device Serial Number:  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culture Info:  en-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Date/Time,CHANNEL0,CHANNEL1,CHANNEL2,CHANNEL3,CHANNEL4,CHANNEL5,CHANNEL6,CHANNEL7,CHANNEL8,CHANNEL9,CHANNEL10,CHANNEL11,CHANNEL12,CHANNEL13,CHANNEL14,CHANNEL15,CHANNEL16,CHANNEL17,CHANNEL18,CHANNEL19,CHANNEL20,CHANNEL21,CHANNEL22,CHANNEL23,CHANNEL24,CHANNEL25,CHANNEL26,CHANNEL27,CHANNEL28,CHANNEL29,CHANNEL30,CHANNEL31,Events
26,40:23.8,21.2818,21.3153,22.2754,21.7604,21.6472,21.5199,21.6484,21.4573,21.9568,21.7643,21.7718,21.5293,21.8455,21.5586,22.6071,0.1322,-0.4823,21.5525,22.3796,21.896,21.7824,21.6524,21.7168,21.3584,21.5103,21.4884,21.5401,21.5331,21.7717,21.514,21.6726,21.6839,
27,40:24.1,21.2763,21.3206,22.2837,21.7676,21.6581,21.5254,21.6465,21.4591,21.958,21.7654,21.7716,21.5267,21.842,21.5584,22.6064,0.1321,-0.4853,21.5444,22.3761,21.887,21.775,21.6536,21.7311,21.3473,21.5069,21.4921,21.5456,21.5267,21.7794,21.508,21.6638,21.6707,
28,40:24.4,21.2818,21.3232,22.2878,21.7579,21.6516,21.5315,21.6426,21.4608,21.9543,21.7684,21.7577,21.5302,21.8496,21.5699,22.6119,0.132,-0.4888,21.5504,22.3694,21.8777,21.7752,21.6573,21.7256,21.3288,21.4983,21.4838,21.5507,21.5123,21.7736,21.5119,21.6735,21.6788,
29,40:24.8,21.2705,21.322,22.2807,21.7572,21.6498,21.5296,21.6379,21.4575,21.955,21.7619,21.7665,21.5182,21.8415,21.5745,22.6043,0.1319,-0.4919,21.5541,22.3678,21.8666,21.7808,21.6598,21.7221,21.3101,21.4941,21.4843,21.563,21.5012,21.7782,21.511,21.6682,21.6767,
30,40:25.1,21.271,21.3308,22.286,21.7542,21.6521,21.5294,21.6326,21.4566,21.9554,21.7599,21.7591,21.5244,21.8429,21.5778,22.5972,0.132,-0.4222,21.5492,22.3736,21.8572,21.7685,21.6647,21.7105,21.3158,21.4918,21.485,21.5752,21.4767,21.7868,21.4879,21.6712,21.676,
31,40:25.4,21.2795,21.3271,22.2804,21.7442,21.6454,21.5296,21.6338,21.458,21.8878,21.7003,21.7024,21.4635,21.8371,21.5808,22.6011,0.1318,-0.404,21.5564,22.3678,21.8586,21.7667,21.6654,21.7175,21.3311,21.4856,21.4921,21.5905,21.4702,21.7826,21.4944,21.6601,21.68,
32,40:25.8,21.2865,21.341,22.2818,21.7477,21.6484,21.5285,21.6236,21.4614,21.8896,21.6948,21.7003,21.4711,21.8279,21.588,22.5909,0.132,-0.4237,21.5638,22.3697,21.8592,21.7727,21.6709,21.7119,21.3466,21.4828,21.4882,21.5984,21.4764,21.7849,21.4897,21.6668,21.682,
33,40:26.1,21.2807,21.3334,22.2793,21.7241,21.6415,21.5217,21.6296,21.4552,21.8885,21.6957,21.7042,21.4702,21.8371,21.6065,22.5978,0.1322,-0.424,21.5564,22.3697,21.8678,21.7597,21.6633,21.7168,21.3508,21.4909,21.4817,21.6067,21.491,21.774,21.4907,21.6751,21.6839,
34,40:26.4,21.2793,21.3412,22.2788,21.728,21.647,21.5329,21.6291,21.4642,21.8933,21.686,21.6922,21.4695,21.8288,21.6,22.5939,0.1323,-0.4222,21.5571,22.3722,21.8683,21.7643,21.6667,21.7154,21.3587,21.4814,21.4861,21.6187,21.4963,21.7807,21.4897,21.6552,21.689,
35,40:26.8,21.2814,21.3459,22.2774,21.7213,21.6447,21.5329,21.6183,21.4675,21.894,21.6915,21.701,21.4806,21.8276,21.613,22.5821,0.1325,-0.4515,21.5629,22.3706,21.8787,21.7706,21.6654,21.7142,21.3554,21.4932,21.4933,21.6266,21.5128,21.7905,21.4911,21.6726,21.6809,
