Header Size:  8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Interval:  0.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Rate:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Count:  506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device Serial Number:  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culture Info:  en-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Date/Time,CHANNEL0,CHANNEL1,CHANNEL2,CHANNEL3,CHANNEL4,CHANNEL5,CHANNEL6,CHANNEL7,CHANNEL8,CHANNEL9,CHANNEL10,CHANNEL11,CHANNEL12,CHANNEL13,CHANNEL14,CHANNEL15,CHANNEL16,CHANNEL17,CHANNEL18,CHANNEL19,CHANNEL20,CHANNEL21,CHANNEL22,CHANNEL23,CHANNEL24,CHANNEL25,CHANNEL26,CHANNEL27,CHANNEL28,CHANNEL29,CHANNEL30,CHANNEL31,Events
47,37:37.8,21.2536,21.3588,22.2383,21.7631,21.6386,21.5108,21.671,21.4364,21.986,21.688,21.8575,21.4292,21.9252,21.5636,22.5053,0.1075,-0.8478,21.3674,22.2282,21.6976,21.7154,21.6167,21.769,21.3569,-9999,21.4811,21.8293,21.5508,21.7908,21.6071,21.6357,21.6139,
48,37:38.1,21.2589,21.3569,22.2404,21.7608,21.6409,21.5027,21.6698,21.4396,21.9795,21.6866,21.8554,21.4324,21.9231,21.565,22.5088,0.1068,-0.8294,21.3656,22.2323,21.6994,21.7168,21.6204,21.769,21.3585,-9999,21.4801,21.8344,21.542,21.7836,21.618,21.6369,21.6109,
49,37:38.4,21.2589,21.3595,22.248,21.7611,21.6382,21.5041,21.6691,21.4339,21.9793,21.6849,21.8596,21.4359,21.9229,21.5548,22.5076,0.106,-0.8015,21.3612,22.2363,21.6934,21.7159,21.6143,21.7676,21.3585,-9999,21.473,21.8402,21.545,21.7808,21.6164,21.6197,21.6012,
50,37:38.8,21.2536,21.3602,22.242,21.7585,21.6379,21.5013,21.6689,21.4329,21.9791,21.6815,21.8464,21.4336,21.9271,21.565,22.5074,0.1055,-0.8019,21.3746,22.2381,21.7038,21.7221,21.609,21.7733,21.3613,-9999,21.472,21.8376,21.5422,21.7873,21.6095,21.632,21.6123,
51,37:39.1,21.2562,21.3634,22.2508,21.7678,21.646,21.5023,21.6714,21.4383,21.9874,21.6831,21.8522,21.4403,21.9257,21.5609,22.5148,0.1049,-0.8027,21.3714,22.2363,21.704,21.7152,21.6037,21.7736,21.359,-9999,21.4628,21.8383,21.5441,21.7956,21.6127,21.6338,21.6031,
52,37:39.4,21.2721,21.3724,22.2589,21.7664,21.6458,21.4967,21.6656,21.4332,21.9816,21.6854,21.8489,21.4586,21.9238,21.5588,22.5194,0.1045,-0.7901,21.3674,22.233,21.6906,21.7161,21.6171,21.7766,21.3544,-9999,21.473,21.8321,21.5385,21.7885,21.6162,21.6406,21.6001,
53,37:39.8,21.2612,21.3637,22.2593,21.7629,21.6521,21.5002,21.6654,21.4336,21.9846,21.6882,21.8501,21.4498,21.9185,21.5544,22.5236,0.1041,-0.8086,21.3593,22.2323,21.6948,21.7256,21.6058,21.7664,21.3511,-9999,21.464,21.8293,21.5378,21.7947,21.6141,21.6433,21.6056,
54,37:40.1,21.2612,21.3685,22.2688,21.7782,21.6662,21.4951,21.6714,21.435,21.9867,21.6898,21.8475,21.4708,21.9229,21.565,22.5227,0.1037,-0.8235,21.367,22.2423,21.705,21.7233,21.6039,21.762,21.3493,-9999,21.4633,21.8339,21.5311,21.7982,21.6152,21.6362,21.5966,
55,37:40.4,21.255,21.3724,22.2714,21.7752,21.6574,21.4946,21.6684,21.4357,21.9837,21.6843,21.8445,21.4819,21.9257,21.5629,22.5213,0.1035,-0.8172,21.3642,22.2356,21.6934,21.7161,21.6104,21.772,21.3488,-9999,21.4667,21.8288,21.5306,21.7836,21.612,21.6371,21.6026,
56,37:40.8,21.2612,21.3715,22.2695,21.7756,21.6548,21.4888,21.6617,21.4211,21.9788,21.6801,21.8496,21.4856,21.9254,21.5641,22.525,0.1035,-0.7916,21.3605,22.233,21.7024,21.7231,21.6183,21.7683,21.3474,-9999,21.46,21.8194,21.5394,21.7892,21.6192,21.6401,21.604,
57,37:41.1,21.2573,21.3664,22.2649,21.7789,21.6622,21.487,21.6733,21.4325,21.983,21.6806,21.8374,21.4831,21.9125,21.5595,22.5247,0.1033,-0.7648,21.3485,22.2369,21.705,21.7219,21.6171,21.7747,21.3379,-9999,21.4596,21.8177,21.5418,21.7855,21.6083,21.645,21.604,
