Header Size:  8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Interval:  0.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Rate:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Count:  2991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device Serial Number:  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culture Info:  en-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Date/Time,CHANNEL0,CHANNEL1,CHANNEL2,CHANNEL3,CHANNEL4,CHANNEL5,CHANNEL6,CHANNEL7,CHANNEL8,CHANNEL9,CHANNEL10,CHANNEL11,CHANNEL12,CHANNEL13,CHANNEL14,CHANNEL15,CHANNEL16,CHANNEL17,CHANNEL18,CHANNEL19,CHANNEL20,CHANNEL21,CHANNEL22,CHANNEL23,CHANNEL24,CHANNEL25,CHANNEL26,CHANNEL27,CHANNEL28,CHANNEL29,CHANNEL30,CHANNEL31
27,06:14.5,22.3437,21.8594,22.7064,22.268,22.1046,22.208,22.0658,22.0552,22.5651,22.3554,22.507,22.2307,22.4637,22.103,22.9298,0.015,-0.6681,21.8476,22.6972,22.4834,22.2973,22.3813,22.3317,22.0318,21.996,22.2123,22.4168,22.0893,22.2655,22.0457,22.1469,22.3413
28,06:14.9,22.3522,21.8543,22.7145,22.2738,22.1004,22.1943,22.0716,22.0515,22.5602,22.3591,22.5098,22.2311,22.4612,22.0983,22.9362,0.0147,-0.667,21.8476,22.6999,22.5017,22.2929,22.3945,22.3171,22.0207,21.9761,22.2153,22.4089,22.0909,22.2591,22.0422,22.1358,22.3757
29,06:15.2,22.3481,21.8638,22.714,22.283,22.1109,22.1874,22.0684,22.0416,22.5457,22.3589,22.5123,22.2219,22.4408,22.099,22.9346,0.0141,-0.6685,21.8534,22.7103,22.4941,22.2806,22.3894,22.3155,22.0193,21.9648,22.2037,22.4094,22.0939,22.2685,22.0617,22.1363,22.406
30,06:15.5,22.3476,21.8566,22.7191,22.2884,22.103,22.1844,22.0679,22.0351,22.5381,22.3633,22.5153,22.2159,22.4235,22.0933,22.9383,0.0143,-0.67,21.8597,22.7101,22.4999,22.2802,22.3778,22.3111,22.0151,21.9696,22.2055,22.4105,22.0944,22.2685,22.0904,22.1402,22.4203
31,06:15.9,22.3427,21.8522,22.7103,22.3106,22.0995,22.1825,22.0651,22.027,22.52,22.3593,22.514,22.2001,22.4108,22.0845,22.9386,0.0144,-0.6709,21.8634,22.7124,22.507,22.2739,22.376,22.2984,22.0043,21.968,22.1972,22.3962,22.0849,22.2688,22.0917,22.1307,22.4081
32,06:16.2,22.3476,21.849,22.7195,22.323,22.1016,22.1795,22.0614,22.0295,22.5094,22.3674,22.5193,22.19,22.4015,22.0808,22.9312,0.0136,-0.6748,21.8608,22.7092,22.5084,22.2749,22.3765,22.2908,21.9908,21.9717,22.2127,22.3881,22.095,22.2685,22.1065,22.1344,22.4081
33,06:16.5,22.3453,21.852,22.7179,22.3383,22.0972,22.165,22.0711,22.0252,22.5027,22.3681,22.51,22.1877,22.3821,22.0743,22.9395,0.0128,-0.6785,21.8634,22.715,22.495,22.2726,22.3651,22.2928,21.9932,21.9696,22.2203,22.3752,22.0782,22.2817,22.1075,22.1333,22.4055
34,06:16.9,22.3432,21.8594,22.7105,22.3499,22.1021,22.1647,22.0647,22.0247,22.4849,22.3716,22.5082,22.1921,22.3611,22.069,22.93,0.0129,-0.6826,21.8664,22.7161,22.4959,22.2633,22.3522,22.2901,21.9952,21.9655,22.24,22.3789,22.0636,22.2722,22.1137,22.1411,22.4051
35,06:17.2,22.3469,21.8506,22.7184,22.3501,22.0954,22.1629,22.0635,22.0171,22.4914,22.3702,22.5073,22.1895,22.3301,22.0711,22.9314,0.013,-0.6858,21.8567,22.7157,22.4839,22.233,22.3476,22.2905,21.9649,21.9558,22.2368,22.3701,22.0518,22.2655,22.1132,22.1497,22.4085
36,06:17.5,22.3432,21.8522,22.7103,22.3554,22.0944,22.1539,22.0656,22.0196,22.49,22.3665,22.504,22.1853,22.3192,22.0699,22.9351,0.0132,-0.6926,21.8534,22.7129,22.4714,22.2064,22.3341,22.2917,21.9515,21.9562,22.2465,22.3708,22.0328,22.2667,22.1047,22.1448,22.4118
