Header Size:  8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Interval:  0.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Rate:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Count:  835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device Serial Number:  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culture Info:  en-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Date/Time,CHANNEL0,CHANNEL1,CHANNEL2,CHANNEL3,CHANNEL4,CHANNEL5,CHANNEL6,CHANNEL7,CHANNEL8,CHANNEL9,CHANNEL10,CHANNEL11,CHANNEL12,CHANNEL13,CHANNEL14,CHANNEL15,CHANNEL16,CHANNEL17,CHANNEL18,CHANNEL19,CHANNEL20,CHANNEL21,CHANNEL22,CHANNEL23,CHANNEL24,CHANNEL25,CHANNEL26,CHANNEL27,CHANNEL28,CHANNEL29,CHANNEL30,CHANNEL31
27,10:06.2,21.4936,22.0211,22.7249,22.2895,22.064,22.1103,22.078,22.0392,22.403,22.3295,22.3061,22.1451,22.2591,22.2258,22.9637,0.0052,-0.6875,21.9746,22.5962,22.3071,22.0969,22.0562,22.1016,21.8775,22.0092,22.046,22.1056,22.1543,22.1764,22.128,21.9929,21.8304
28,10:06.5,21.4938,22.0223,22.7163,22.2932,22.046,22.1512,22.0569,22.0114,22.3577,22.2983,22.252,22.1523,22.2515,22.2299,22.9723,0.0051,-0.5069,21.9415,22.66,22.309,22.1036,22.0456,22.0022,21.8734,22.0016,22.1357,22.1826,22.1538,22.141,22.1227,21.9834,21.7448
29,10:06.8,21.5086,22.0359,22.7482,22.2895,22.043,22.1491,22.0618,22.0486,22.4056,22.3124,22.2157,22.1514,22.2559,22.2658,22.9822,0.0051,-0.3252,21.948,22.6457,22.3145,22.1466,22.0539,21.9906,21.8819,22.0247,22.0946,22.1495,22.1499,22.1396,22.1296,21.9857,21.7337
30,10:07.2,21.4926,22.0188,22.7468,22.296,22.0307,22.1103,22.0535,22.0176,22.363,22.2726,22.2317,22.1375,22.2485,22.2373,23.0546,0.0053,-0.6777,21.9542,22.7608,22.3533,22.1285,22.004,21.9821,21.8859,22.033,22.0934,22.1192,22.177,22.1695,22.1252,21.9813,21.7455
31,10:07.5,21.5003,22.0383,22.6722,22.3018,22.0337,22.1362,22.0567,22.0227,22.419,22.2458,22.2511,22.1493,22.2461,22.2415,22.9746,0.0054,-0.7073,21.9251,22.6408,22.3316,22.1401,22.0077,21.9876,21.89,22.0261,22.0666,22.1162,22.1532,22.1521,22.1178,21.9829,21.7381
32,10:07.8,21.4954,22.0489,22.8108,22.2923,22.0788,22.154,22.0764,22.0297,22.3774,22.2722,22.2788,22.1412,22.2434,22.2346,22.9099,0.0053,-0.6297,21.9024,22.6685,22.3496,22.0948,21.9894,21.9735,21.8967,21.9951,22.0148,22.1114,22.1481,22.1639,22.1174,21.9804,21.7682
33,10:08.2,21.4906,22.0417,22.7362,22.29,22.0821,22.1551,22.0629,22.0276,22.363,22.2759,22.2481,22.1352,22.2424,22.2288,22.9894,0.0058,-0.6192,21.9248,22.6819,22.3709,22.0874,22.0541,22.0105,21.8847,21.9985,22.0564,22.131,22.1717,22.1868,22.1828,22.0165,21.8138
34,10:08.5,21.4998,21.9791,22.7219,22.314,22.0335,22.1734,22.0798,22.0001,22.355,22.2206,22.2839,22.1296,22.2473,22.2059,22.9346,0.0055,-0.4152,21.9304,22.703,22.3496,22.1549,22.075,22.0276,21.8741,21.9951,22.0233,22.1183,22.1247,22.1607,22.1514,22.0248,21.7925
35,10:08.8,21.4899,22.0151,22.7833,22.296,22.0411,22.1334,22.0548,22.0405,22.3355,22.2775,22.2398,22.1086,22.2415,22.2285,22.9744,0.0053,-0.4033,21.9769,22.6653,22.3473,22.1089,22.0983,22.0626,21.8815,21.9546,22.0139,22.1253,22.0896,22.1505,22.1312,21.9915,21.8043
36,10:09.2,21.4984,22.0332,22.7029,22.302,22.0423,22.117,22.0583,22.0058,22.3836,22.3392,22.3114,22.1218,22.2582,22.2332,22.9811,0.0048,-0.4446,21.9743,22.6531,22.2807,22.1491,22.078,21.9654,21.8949,21.9639,22.0858,22.1618,22.1108,22.1475,22.1171,21.9725,21.7876
37,10:09.5,21.4936,22.051,22.711,22.3189,22.0756,22.1457,22.0888,22.0373,22.4259,22.3161,22.2751,22.1125,22.2348,22.2283,22.9647,0.005,-0.5082,21.9225,22.6198,22.3402,22.1276,21.9824,21.9971,21.8877,21.9967,22.1302,22.1343,22.1199,22.1427,22.1227,21.9707,21.7721
38,10:09.8,21.495,22.0334,22.7318,22.3136,22.083,22.1531,22.0743,22.0424,22.3938,22.2504,22.249,22.0996,22.2751,22.1899,22.9741,0.0049,-0.5857,21.9438,22.6133,22.3268,22.1359,22.0123,21.9663,21.8937,22.015,22.0557,22.128,22.1307,22.1847,22.1518,22.001,21.7874
39,10:10.2,21.4915,22.0329,22.6657,22.2835,22.0647,22.1255,22.0745,22.0382,22.3873,22.2599,22.2707,22.0935,22.2468,22.2371,22.9644,0.0056,-0.5525,21.9787,22.6385,22.277,22.1205,22.0819,22.032,21.887,22.0214,22.0374,22.1158,22.1025,22.1475,22.146,22.0063,21.789
40,10:10.5,21.4901,22.0417,22.7503,22.2925,22.0712,22.1452,22.0921,22.0244,22.3728,22.2747,22.2643,22.1009,22.2431,22.245,22.9224,0.0054,-0.5289,21.9843,22.6272,22.3286,22.1084,22.0757,22.0274,21.8949,22.0212,22.0666,22.116,22.1434,22.1799,22.1208,21.9943,21.7668
41,10:10.8,21.4917,22.0394,22.6765,22.2761,22.0476,22.102,22.0535,22.016,22.403,22.3073,22.3096,22.112,22.2559,22.2283,22.958,0.0061,-0.53,21.9841,22.6491,22.3131,22.0825,22.0414,22.0246,21.8845,22.0048,22.1408,22.1553,22.1601,22.1669,22.1588,21.9827,21.774
42,10:11.2,21.4968,22.0276,22.6918,22.3416,22.0379,22.1436,22.065,22.0227,22.4058,22.3304,22.3001,22.1555,22.2637,22.2565,23.0155,0.0052,-0.576,21.9963,22.6343,22.3316,22.0615,22.0558,22.0101,21.8873,21.9807,22.1327,22.1657,22.1467,22.1831,22.1093,21.9929,21.7703
43,10:11.5,21.4887,22.035,22.6523,22.336,22.0587,22.1246,22.041,22.0001,22.3429,22.3031,22.225,22.1088,22.2607,22.2278,22.9767,0.0051,-0.6053,21.9614,22.6602,22.309,22.1484,22.0796,21.9911,21.8521,22.0709,22.0721,22.1447,22.1508,22.1554,22.115,21.9922,21.7527
44,10:11.8,21.4901,22.0267,22.7507,22.2972,22.0668,22.1212,22.0329,21.9887,22.3321,22.2659,22.2409,22.1567,22.2797,22.2496,23.0204,0.0047,-0.6248,21.9778,22.6445,22.3251,22.1186,22.0673,22.0188,21.8579,22.0406,22.0929,22.1706,22.1289,22.1255,22.122,21.9802,21.7575
45,10:12.2,21.4961,22.0242,22.7119,22.3182,22.0504,22.1119,22.0629,22.0146,22.416,22.2661,22.2754,22.1324,22.254,22.2355,23.0093,0.0049,-0.638,21.9269,22.6251,22.3369,22.1001,22.0648,22.0223,21.8651,21.9939,22.1214,22.1905,22.1196,22.1082,22.1211,21.9931,21.7557
46,10:12.5,21.4936,22.0646,22.7378,22.2995,22.0245,22.117,22.0736,22.022,22.3968,22.3438,22.3174,22.1153,22.2778,22.241,23.0009,0.0047,-0.6492,21.9702,22.6316,22.3212,22.0779,22.127,22.008,21.8572,22.03,22.1535,22.2043,22.1427,22.1121,22.1516,22.0054,21.7684
47,10:12.8,21.4938,22.042,22.7108,22.3224,22.034,22.1202,22.0678,22.0183,22.3822,22.3091,22.243,22.1271,22.2873,22.2265,22.9783,0.0043,-0.6586,21.982,22.6225,22.305,22.0878,22.0451,21.9791,21.8579,22.0057,22.1427,22.1479,22.1351,22.1736,22.1178,21.9702,21.7763
48,10:13.2,21.4926,22.0304,22.6306,22.3078,22.0541,22.0913,22.056,22.0174,22.3494,22.3228,22.2955,22.1218,22.2681,22.2334,22.9185,0.0045,-0.6677,21.9586,22.6625,22.3099,22.0749,22.028,21.9821,21.8544,21.9888,22.1595,22.1257,22.1696,22.1588,22.1305,21.9584,21.8154
49,10:13.5,21.4998,22.0431,22.692,22.2782,22.064,22.0874,22.0634,22.0135,22.3704,22.3064,22.2728,22.1477,22.2642,22.2232,22.9249,0.004,-0.6734,22.0331,22.6343,22.3076,22.0939,22.1108,22.0491,21.8715,22.07,22.0929,22.1179,22.149,22.1304,22.1696,21.9684,21.7939
